;ncmarket;cassava;cereals;cotton;fruits;maize;oilseeds;pulses;rice;roots;stimulants;sugarcane;tobacco;vegetable
2010;CmAngola;182;286;2137;1024;217;468;1730;865;789;2457;50;1032;1271
2010;CmBotswana;0;240;2137;1321;217;447;931;865;1138;2412;50;1032;1271
2010;CmMalawi;182;266;2137;1008;217;513;1315;865;399;3348;50;1032;1271
2010;CmMozambique;182;250;2137;1249;217;493;609;865;942;3312;50;1032;1271
2010;CmNamibia;182;301;2137;1352;217;649;746;865;1277;2554;50;1032;1271
2010;CmTanzania;182;264;2074;949;217;752;1722;865;806;3009;50;1008;1271
2010;CmZambia;182;274;2137;1374;217;619;997;865;867;2570;50;1032;1271
2010;CmZimbabwe;182;262;2137;1146;217;367;1704;865;458;3153;50;1032;1271
2010;WorldMarket;121;179;1385;690;144;549;1188;346;486;2082;50;748;847
2030;CmAngola;236;338;2741;1236;263;598;2032;927;840;2891;50;1206;1389
2030;CmBotswana;0;287;2741;1621;263;501;1062;927;1308;2842;50;1206;1389
2030;CmMalawi;236;315;2741;1238;263;669;1556;927;462;3869;50;1206;1389
2030;CmMozambique;236;300;2741;1551;263;600;686;927;992;3830;50;1206;1389
2030;CmNamibia;236;344;2741;1664;263;766;843;927;1478;2999;50;1206;1389
2030;CmTanzania;236;318;2661;1131;263;892;2029;927;865;3498;50;1178;1389
2030;CmZambia;236;325;2741;1711;263;765;1140;927;903;3017;50;1206;1389
2030;CmZimbabwe;236;311;2741;1408;263;450;1990;927;512;3656;50;1206;1389
2030;WorldMarket;157;213;1776;835;176;695;1394;371;522;2419;50;874;926
2050;CmAngola;256;358;2750;1179;325;613;2019;1110;862;2993;50;1135;1345
2050;CmBotswana;0;309;2750;1572;325;489;1034;1110;1367;2953;50;1135;1345
2050;CmMalawi;256;335;2750;1266;325;669;1585;1110;455;3761;50;1135;1345
2050;CmMozambique;256;325;2750;1525;325;619;663;1110;1005;3731;50;1135;1345
2050;CmNamibia;256;350;2750;1618;325;731;815;1110;1570;3079;50;1135;1345
2050;CmTanzania;256;339;2669;1083;325;863;2032;1110;895;3473;50;1109;1345
2050;CmZambia;256;348;2750;1675;325;760;1112;1110;883;3093;50;1135;1345
2050;CmZimbabwe;256;333;2750;1378;325;468;1970;1110;492;3597;50;1135;1345
2050;WorldMarket;170;227;1782;819;217;702;1389;444;521;2388;50;822;897
